SRR1444722 SRR1444722_1.fastq.gz SRR1444722_2.fastq.gz
SRR1444914 SRR1444914_1.fastq.gz SRR1444914_2.fastq.gz
SRR1444954 SRR1444954_1.fastq.gz SRR1444954_2.fastq.gz
SRR1445741 SRR1445741_1.fastq.gz SRR1445741_2.fastq.gz
SRR1446156 SRR1446156_1.fastq.gz SRR1446156_2.fastq.gz
SRR1446226 SRR1446226_1.fastq.gz SRR1446226_2.fastq.gz
SRR1446393 SRR1446393_1.fastq.gz SRR1446393_2.fastq.gz
SRR1447652 SRR1447652_1.fastq.gz SRR1447652_2.fastq.gz
SRR1447673 SRR1447673_1.fastq.gz SRR1447673_2.fastq.gz
SRR1448183 SRR1448183_1.fastq.gz SRR1448183_2.fastq.gz
SRR1451778 SRR1451778_1.fastq.gz SRR1451778_2.fastq.gz
SRR1452491 SRR1452491_1.fastq.gz SRR1452491_2.fastq.gz
SRR1452741 SRR1452741_1.fastq.gz SRR1452741_2.fastq.gz
SRR1453026 SRR1453026_1.fastq.gz SRR1453026_2.fastq.gz
SRR1454136 SRR1454136_1.fastq.gz SRR1454136_2.fastq.gz
SRR1454374 SRR1454374_1.fastq.gz SRR1454374_2.fastq.gz
SRR1454522 SRR1454522_1.fastq.gz SRR1454522_2.fastq.gz
SRR1455326 SRR1455326_1.fastq.gz SRR1455326_2.fastq.gz
SRR1455503 SRR1455503_1.fastq.gz SRR1455503_2.fastq.gz
SRR1455607 SRR1455607_1.fastq.gz SRR1455607_2.fastq.gz
SRR1455842 SRR1455842_1.fastq.gz SRR1455842_2.fastq.gz
SRR1456567 SRR1456567_1.fastq.gz SRR1456567_2.fastq.gz
SRR1456693 SRR1456693_1.fastq.gz SRR1456693_2.fastq.gz
SRR1457039 SRR1457039_1.fastq.gz SRR1457039_2.fastq.gz
SRR1457768 SRR1457768_1.fastq.gz SRR1457768_2.fastq.gz
SRR1457872 SRR1457872_1.fastq.gz SRR1457872_2.fastq.gz
SRR1458026 SRR1458026_1.fastq.gz SRR1458026_2.fastq.gz
SRR1458358 SRR1458358_1.fastq.gz SRR1458358_2.fastq.gz
SRR1458484 SRR1458484_1.fastq.gz SRR1458484_2.fastq.gz
SRR1458973 SRR1458973_1.fastq.gz SRR1458973_2.fastq.gz
SRR1459956 SRR1459956_1.fastq.gz SRR1459956_2.fastq.gz
SRR1460073 SRR1460073_1.fastq.gz SRR1460073_2.fastq.gz
SRR1460124 SRR1460124_1.fastq.gz SRR1460124_2.fastq.gz
SRR1464281 SRR1464281_1.fastq.gz SRR1464281_2.fastq.gz
