SRR1348446 SRR1348446_1.fastq.gz SRR1348446_2.fastq.gz
SRR1348770 SRR1348770_1.fastq.gz SRR1348770_2.fastq.gz
SRR1348861 SRR1348861_1.fastq.gz SRR1348861_2.fastq.gz
SRR1349013 SRR1349013_1.fastq.gz SRR1349013_2.fastq.gz
SRR1349056 SRR1349056_1.fastq.gz SRR1349056_2.fastq.gz
SRR1349829 SRR1349829_1.fastq.gz SRR1349829_2.fastq.gz
SRR1350107 SRR1350107_1.fastq.gz SRR1350107_2.fastq.gz
SRR1350220 SRR1350220_1.fastq.gz SRR1350220_2.fastq.gz
SRR1350456 SRR1350456_1.fastq.gz SRR1350456_2.fastq.gz
SRR1350525 SRR1350525_1.fastq.gz SRR1350525_2.fastq.gz
SRR1351325 SRR1351325_1.fastq.gz SRR1351325_2.fastq.gz
SRR1351880 SRR1351880_1.fastq.gz SRR1351880_2.fastq.gz
SRR1352129 SRR1352129_1.fastq.gz SRR1352129_2.fastq.gz
SRR1352415 SRR1352415_1.fastq.gz SRR1352415_2.fastq.gz
SRR1352554 SRR1352554_1.fastq.gz SRR1352554_2.fastq.gz
SRR1352706 SRR1352706_1.fastq.gz SRR1352706_2.fastq.gz
SRR1352954 SRR1352954_1.fastq.gz SRR1352954_2.fastq.gz
SRR1352975 SRR1352975_1.fastq.gz SRR1352975_2.fastq.gz
SRR1353157 SRR1353157_1.fastq.gz SRR1353157_2.fastq.gz
SRR1353176 SRR1353176_1.fastq.gz SRR1353176_2.fastq.gz
SRR1353221 SRR1353221_1.fastq.gz SRR1353221_2.fastq.gz
SRR1353285 SRR1353285_1.fastq.gz SRR1353285_2.fastq.gz
SRR1354013 SRR1354013_1.fastq.gz SRR1354013_2.fastq.gz
SRR1354446 SRR1354446_1.fastq.gz SRR1354446_2.fastq.gz
SRR1354577 SRR1354577_1.fastq.gz SRR1354577_2.fastq.gz
SRR1354689 SRR1354689_1.fastq.gz SRR1354689_2.fastq.gz
SRR1354734 SRR1354734_1.fastq.gz SRR1354734_2.fastq.gz
SRR1354910 SRR1354910_1.fastq.gz SRR1354910_2.fastq.gz
SRR1355040 SRR1355040_1.fastq.gz SRR1355040_2.fastq.gz
SRR1355061 SRR1355061_1.fastq.gz SRR1355061_2.fastq.gz
SRR1355150 SRR1355150_1.fastq.gz SRR1355150_2.fastq.gz
SRR1355262 SRR1355262_1.fastq.gz SRR1355262_2.fastq.gz
SRR1355373 SRR1355373_1.fastq.gz SRR1355373_2.fastq.gz
SRR1355595 SRR1355595_1.fastq.gz SRR1355595_2.fastq.gz
SRR1355613 SRR1355613_1.fastq.gz SRR1355613_2.fastq.gz
SRR1355635 SRR1355635_1.fastq.gz SRR1355635_2.fastq.gz
SRR1356036 SRR1356036_1.fastq.gz SRR1356036_2.fastq.gz
SRR1356204 SRR1356204_1.fastq.gz SRR1356204_2.fastq.gz
SRR1356375 SRR1356375_1.fastq.gz SRR1356375_2.fastq.gz
SRR1356444 SRR1356444_1.fastq.gz SRR1356444_2.fastq.gz
SRR1356619 SRR1356619_1.fastq.gz SRR1356619_2.fastq.gz
SRR1357021 SRR1357021_1.fastq.gz SRR1357021_2.fastq.gz
SRR1357189 SRR1357189_1.fastq.gz SRR1357189_2.fastq.gz
SRR1357413 SRR1357413_1.fastq.gz SRR1357413_2.fastq.gz
SRR1357434 SRR1357434_1.fastq.gz SRR1357434_2.fastq.gz
SRR1357478 SRR1357478_1.fastq.gz SRR1357478_2.fastq.gz
SRR1357523 SRR1357523_1.fastq.gz SRR1357523_2.fastq.gz
SRR1358102 SRR1358102_1.fastq.gz SRR1358102_2.fastq.gz
SRR1358183 SRR1358183_1.fastq.gz SRR1358183_2.fastq.gz
SRR1358501 SRR1358501_1.fastq.gz SRR1358501_2.fastq.gz
SRR1358561 SRR1358561_1.fastq.gz SRR1358561_2.fastq.gz
